Node1,Node2
Q92769,Q92793
P26373,P57772
O00268,Q16514
P17568,P56385
P01106,Q15796
P56937,Q6UWP2
Q15544,Q92759
P08579,P09661
A4D1E9,Q9BYC9
P28161,Q16696
P09668,P55957
P18077,P42766
P01730,P19838
P19474,P62837
P62805,Q969G3
P62917,Q5T1N1
P49450,Q9NSP4
P51948,P52655
O00487,P48556
O14879,P19525
P25398,Q9Y3A2
P19387,Q9GZM3
P13498,Q9Y2S7
O14503,Q9C0J9
P20700,Q8WXH0
P45985,Q15750
O15169,Q8IUQ4
Q02543,Q6P5R6
P84098,Q9UKD2
P45973,Q14739
P18846,Q01844
P62805,P63272
P17568,Q9Y375
P30511,P43626
P28340,Q9UKL0
P49748,Q08426
P23443,Q9NQL2
O75581,Q13145
P35244,P40937
P49736,P56282
P07814,Q9HB96
P62805,Q16531
Q8TCT0,Q9NR71
P28066,P60900
Q8N684,Q92797
Q16526,Q16649
P17568,P56181
P22310,P49888
Q15185,Q9H6T3
O75899,Q92806
P22004,Q9H2X0
Q8TCT0,Q8TDN7
Q02543,Q08211
P30153,Q13522
P22310,P51857
Q14498,Q9BXP5
Q99728,Q9HC52
Q14118,Q14714
Q01650,Q07837
P01350,P09683
Q13950,Q15672
Q6ZMG9,Q9BX95
P42224,Q13651
P32926,Q13835
O14638,Q9BQG2
O00566,Q03701
Q15843,Q86VP6
O15264,Q05397
P08708,P55010
P52655,Q9Y3C7
O14735,Q9UJA2
Q1RMZ1,Q8WTW4
O43818,P62263
P33981,Q15398
P46459,P60880
O14497,Q6STE5
O43678,Q9UI09
P17174,Q16878
Q8IWA0,Q9NQZ2
O15259,P98161
O75817,Q99714
P49458,Q02543
P22749,Q9BYJ0
Q99728,Q9NYG5
O00585,P78423
P04004,P08603
P09001,P19387
O75469,Q9Y6L6
P28482,Q05513
O00401,O60500
O14610,P16520
P43686,Q9BRP4
P82921,P82930
P20226,Q9Y230
P22392,Q13232
P01116,P36888
Q9UK45,Q9Y2W2
P63165,Q9UBT2
P16871,Q12918
P84243,Q9UK53
P47895,Q9NR63
P23588,Q7Z478
P62280,Q9BYC8
Q16515,Q9NRD5
O15155,P62820
P55036,Q15843
P82933,Q9H2K0
Q99661,Q9BVA1
P17568,P30049
P20226,P62805
Q71U36,Q9BVA1
Q9BRG1,Q9UN37
P62877,Q4G163
O60341,Q96EB6
P25685,Q99933
P23677,Q13572
P43246,Q9UQ84
Q71F56,Q9NVC6
O14735,Q9P212
Q02750,Q16539
Q6STE5,Q92785
O15055,Q16526
Q6IA69,Q9NV35
P62955,Q9UBN1
Q12933,Q99558
O15371,P47813
P0CG48,P51665
Q6YP21,Q8NHS2
O60869,P62753
O43818,Q8TED0
Q9BQ48,Q9BYC8
P11532,Q14714
Q07955,Q7RTV0
P62979,Q13895
P09529,Q8NER5
Q02928,Q08477
O15123,P09619
P19235,P52333
P01106,Q92830
P15880,P60228
P61218,Q9NVC6
Q9H501,Q9UHA3
Q6UWS5,Q7KZN9
Q9NVK5,Q9Y228
Q12815,Q13895
O43674,O95299
O00585,P25024
