Node1,Node2
5324,5351
2054,3008
133,4046
1736,2967
1042,4012
2997,4499
3980,5313
1356,1417
29,6054
2098,4107
1419,2953
1762,2498
1074,1818
1810,3137
3144,5405
3157,4284
2674,6566
2809,2826
178,2616
276,1811
2030,7234
1803,6110
1585,7202
209,6107
1861,7483
2546,4006
351,4786
3350,4439
3274,6983
2541,3852
1784,3335
3144,3185
1736,7226
2195,2547
2115,6991
2680,3485
1970,6500
731,3581
2301,2442
2677,2963
1314,6360
3144,4051
5111,6512
2094,3050
4939,5317
4049,4103
1736,2956
1941,2702
3925,6277
775,5334
1932,6249
5111,5125
3350,3479
2172,3689
1941,2803
3836,6013
5812,6395
3784,3850
3346,3463
1062,1435
3765,3998
4520,6001
2482,3717
2254,3735
256,5868
183,3384
4029,4719
345,3429
1372,2918
2826,7263
248,6948
4137,5166
508,3100
2273,3979
2559,3045
214,4480
500,6912
1721,4131
4796,6497
359,7452
769,5805
2661,3350
1955,6068
5812,6683
194,3248
1159,1363
1387,1803
715,7395
2116,3410
150,578
238,1725
2531,5883
3257,3259
1834,7178
1927,3611
1045,2372
6972,7213
3188,6831
1715,3550
3275,6975
2588,6510
1980,4658
3121,6038
4047,6518
338,3133
2920,4029
3284,6212
5793,5960
1736,2166
1834,3144
4582,5960
5878,7077
3150,4184
553,5493
2033,5834
1981,3699
2516,7148
4556,6590
248,6782
3355,4053
4480,5315
314,4049
4384,6584
3159,6820
3574,5792
384,2587
1479,2794
4517,5054
616,3131
508,5156
5857,6038
7431,3850
3486,4613
3160,3744
1428,5009
3364,3484
321,1415
1819,2822
1042,5346
1678,3021
3075,6590
6286,6883
4493,4574
6591,7147
3522,3744
483,889
194,2018
5805,6278
1007,1916
4280,6413
677,1259
2400,3047
3961,7108
4213,6972
268,1019
1086,1550
3350,6043
3733,3744
3144,4078
459,4458
4734,5132
6346,6752
4283,6365
3350,6074
1356,3079
2363,2333
1217,2236
2918,3053
312,3979
1276,4174
683,1482
3273,5857
928,1984
2895,3145
1537,6271
4078,5120
1443,2558
647,1884
2127,5493
4433,7009
3864,5506
1729,2550
3252,5490
2105,3119
2273,3880
57,6343
1473,2119
1227,3061
3185,5374
3936,6221
2116,2897
4133,6559
3076,3252
1358,3817
2727,5447
3260,4189
1227,3790
1045,3498
1766,3025
217,889
1374,3026
765,3622
1301,6425
1069,1722
1301,2136
4445,5313
3240,3350
2034,3289
2764,3360
1748,2247
764,3043
2909,6559
1069,1690
1543,1711
1981,5913
1486,3084
3533,5351
6332,7197
1661,1834
2485,6555
4437,6149
585,3185
3144,7348
2160,6343
256,4816
5252,5915
986,2228
4816,6044
5372,5918
673,4968
1479,5476
221,3223
1804,5313
3130,5725
5466,6162
2148,3231
4189,4418
1729,3665
2891,6850
1653,7442
2363,5428
2081,3643
3129,3923
4267,4647
312,7455
3888,5379
4268,6497
4030,4042
1572,7014
5324,5918
155,1060
3274,4439
2828,3979
2487,3058
565,2254
7442,2358
1356,5193
519,3458
1083,1818
5022,5996
240,1177
2030,4983
4549,4913
6944,7019
2175,6825
1486,1487
1918,5089
3908,6571
731,2401
2044,5693
2895,4030
662,2166
1614,6360
384,3386
1858,6981
508,3099
3201,3274
2835,6028
79,4177
2458,3058
3008,3043
4689,6224
1543,4048
3223,3539
4409,7290
1175,6469
7367,7381
412,3955
4833,7094
2997,4003
3008,3143
3350,5464
217,6746
3031,3319
4421,5178
886,950
1039,2385
6320,6360
19,4288
335,6318
4517,6214
66,763
1736,2592
5355,5571
3008,3118
4134,5529
2790,6208
4577,7348
4751,6843
1417,3959
1207,2766
3047,3403
3879,4335
589,4775
2485,5986
995,3172
469,3045
1818,5351
5056,5748
4531,6006
268,2439
7442,7225
5649,7278
1659,4589
2828,7455
3384,4478
5156,6670
3887,6114
5505,6597
1668,5012
5648,6627
1736,4096
718,1834
5540,6752
3833,5134
3026,6135
2946,5181
1177,3281
1177,3111
2101,6592
5026,5181
3019,6469
2068,4642
372,3147
3758,5558
2828,3880
1495,2155
2096,7021
765,3116
4417,6752
6583,6606
4843,5918
2349,3758
4439,6883
1478,3313
3486,3497
1177,2840
2353,2934
3706,5002
408,450
1177,2408
3611,6523
3350,5427
5602,6822
1430,3026
2030,6149
178,443
933,2834
1731,1761
2828,3837
3313,5237
585,4968
1400,3237
1089,1519
853,1691
1281,2564
2050,3119
1430,2435
2865,3185
1482,5065
686,4653
6038,6265
1259,3354
6556,7094
3648,7378
1926,3171
4480,5176
541,6942
3321,7089
836,6402
1702,7348
666,1236
1223,1621
4349,6122
2116,4377
1092,2687
3633,5208
601,3121
399,5351
3157,6738
3744,6072
2053,3836
300,3275
402,1121
3486,7254
627,6921
6006,6434
1986,6006
5092,7009
1063,1298
3252,4614
2498,6126
1811,1857
739,2519
128,5033
6393,7009
3586,4639
345,2500
147,6432
5384,5529
3076,6360
2275,3223
204,3611
889,7226
1819,2448
1659,2223
5233,6152
124,961
6166,6746
1904,6760
4554,6289
4189,5416
763,1376
1148,1818
1417,4157
4297,6128
247,4479
3682,3945
3399,6159
6946,7036
1803,6466
5569,5974
7044,7379
3252,5504
222,5786
3022,3274
508,7156
174,1754
1186,3144
1227,3802
1008,1235
853,1482
1695,1784
1803,6911
1103,3452
1133,1482
1278,2679
617,3255
4773,6660
174,1249
3199,5755
1062,2932
2498,6883
1439,3036
108,501
1534,2542
3838,5812
3135,3252
1224,3157
6042,6746
372,5361
1090,1502
6779,6865
2045,4703
949,7288
3744,5886
502,6239
1074,1617
338,2821
2244,2797
1534,2200
2527,6621
1638,3961
1942,3058
1227,3110
87,3350
721,6466
3854,4835
4922,6660
5624,7325
3586,4085
5483,5675
1636,3046
3172,5059
1134,2228
650,4526
3129,7235
3156,3284
3939,6064
3920,4255
457,2377
3654,6752
2460,3147
2434,4757
946,3275
1283,2627
2116,2502
5719,7244
4029,6831
1112,2070
16,2828
6111,7156
2433,6752
1184,3772
889,2166
2207,3125
1815,5023
1336,4489
5436,6554
3497,3983
3150,3382
2631,5823
3432,3485
2460,2688
1803,5240
2676,2895
1094,3202
5099,5409
1074,2085
1221,7069
3384,3696
1312,6276
2030,3141
1202,7135
4462,7382
2381,3808
3275,7110
1195,2932
447,3983
375,5271
967,2552
1034,1089
3932,7094
1149,6660
2180,3340
941,3319
174,362
1402,3265
998,2204
2784,3248
6109,7178
2290,2731
5317,7332
4189,7230
346,662
3994,6883
813,3984
6077,6059
1756,3320
3737,4093
3023,3129
7322,7406
5690,7276
1083,1782
2691,2992
969,7052
2570,3202
3884,5944
5477,5574
2378,5817
2889,3577
167,3157
3065,6738
3344,6485
313,4313
2543,3173
4198,7178
5960,6173
2887,4757
2030,7322
5734,7315
3854,6741
939,6575
87,2498
6381,6475
150,6908
1847,3446
2166,2966
1301,2721
3115,3959
3144,3631
6484,7239
1918,2398
2949,4544
1475,3442
